Time,Coin,Direction,Price,Size,Notional,Fee,Closed PnL
25/07/2024 - 06:36:19,ETH,Open Short,3285.59091117,65.6443,215680.31545011682,53.920073,-53.920073
25/07/2024 - 06:39:15,ETH,Open Short,3223.07680428,66.9533,215795.62820000012,53.9489,-53.9489
25/07/2024 - 08:06:20,ETH,Open Short,3173.29094296,54.4405,172755.5455802139,43.188883,-43.188883
25/07/2024 - 17:07:31,ETH,Open Short,3177.13928038,33.5203,106498.6618201217,26.624659,-26.624659
25/07/2024 - 17:24:14,ETH,Open Short,3176.14161226,26.6186,84544.44312010403,21.136105,-21.136105
25/07/2024 - 20:53:14,ETH,Open Short,3152.30877404,33.9319,106963.82608984788,26.740955,-26.740955
25/07/2024 - 22:53:29,ETH,Open Short,3168.88492651,32.1339,101828.63133997968,25.457153,-25.457153
26/07/2024 - 04:54:04,ETH,Open Short,3171.10664012,31.4949,99873.6865199154,24.968418,-24.968418
26/07/2024 - 04:54:05,ETH,Open Short,3171.1,1.6215,5141.93865,0,0
26/07/2024 - 04:54:05,ETH,Open Short,3171.1,1.6216,5142.25576,0,0
26/07/2024 - 04:54:24,ETH,Open Short,3171.1,0.0036,11.41596,0,0
26/07/2024 - 04:54:24,ETH,Open Short,3171.1,0.09,285.399,0,0
26/07/2024 - 04:54:25,ETH,Open Short,3171.1,0.859,2723.9748999999997,0,0
26/07/2024 - 04:54:25,ETH,Open Short,3171.1,1.5707,4980.84677,0,0
26/07/2024 - 04:54:25,ETH,Open Short,3171.1,1.1097,3518.9696699999995,0,0
26/07/2024 - 04:54:25,ETH,Open Short,3171.1,1.1155,3537.3620499999997,0,0
26/07/2024 - 04:54:25,ETH,Open Short,3171.1,0.0946,299.98606,0,0
26/07/2024 - 04:54:26,ETH,Open Short,3171.1,2.1838,6925.048180000001,0,0
26/07/2024 - 04:54:26,ETH,Open Short,3171.1,2.158,6843.2338,0,0
26/07/2024 - 04:54:27,ETH,Open Short,3171.1,0.862,2733.4882,0,0
26/07/2024 - 04:54:27,ETH,Open Short,3171.1,0.8569,2717.3155899999997,0,0
26/07/2024 - 04:54:28,ETH,Open Short,3171.1,0.8447,2678.62817,0,0
26/07/2024 - 04:54:28,ETH,Open Short,3171.1,0.8464,2684.01904,0,0
26/07/2024 - 04:54:28,ETH,Open Short,3171.1,15.0102,47598.845219999996,0,0
26/07/2024 - 04:54:28,ETH,Open Short,3171.1,15.0108,47600.747879999995,0,0
26/07/2024 - 04:54:28,ETH,Open Short,3171.1,0.8926,2830.52386,0,0
26/07/2024 - 04:54:28,ETH,Open Short,3171.1,0.8371,2654.5278099999996,0,0
26/07/2024 - 04:54:29,ETH,Open Short,3171.1,1.2557,3981.95027,0,0
26/07/2024 - 04:54:29,ETH,Open Short,3171.1,1.1498,3646.1307799999995,0,0
26/07/2024 - 04:54:29,ETH,Open Short,3171.1,1.122,3557.9742,0,0
26/07/2024 - 04:54:30,ETH,Open Short,3171.1,1.0781,3418.76291,0,0
26/07/2024 - 04:54:30,ETH,Open Short,3171.1,1.1248,3566.85328,0,0
26/07/2024 - 04:54:30,ETH,Open Short,3171.1,0.1991,631.36601,0,0
26/07/2024 - 04:54:30,ETH,Open Short,3171.1,1.0922,3463.47542,0,0
26/07/2024 - 04:54:31,ETH,Open Short,3171.1,1.0239,3246.88929,0,0
26/07/2024 - 04:54:31,ETH,Open Short,3171.1,1.0027,3179.6619699999997,0,0
26/07/2024 - 04:54:31,ETH,Open Short,3171.1,1.0083,3197.42013,0,0
26/07/2024 - 04:54:32,ETH,Open Short,3171.1,1.0201,3234.83911,0,0
26/07/2024 - 04:54:32,ETH,Open Short,3171.1,4.7905,15191.15455,0,0
26/07/2024 - 05:43:37,ETH,Open Short,3187.9,10.2095,32546.86505,8.136715,-8.136715
26/07/2024 - 06:17:19,ETH,Open Short,3191.3,10.1978,32544.239140000005,8.136058,-8.136058
26/07/2024 - 06:18:18,ETH,Open Short,3192.00352068,20.2887,64761.60183002031,16.190399,-16.190399
26/07/2024 - 08:20:19,ETH,Open Short,3229.50409328,48.025,155096.93407977198,38.77423,-38.77423
26/07/2024 - 08:41:30,ETH,Open Short,3243.9,11.711,37989.312900000004,9.497326,-9.497326
26/07/2024 - 14:33:31,ETH,Open Short,3254.14477097,6.2,20175.697580014003,5.043922,-5.043922
26/07/2024 - 15:33:41,ETH,Open Short,3251.19718529,26.9051,87473.78538994599,21.868443,-21.868443
03/08/2024 - 06:48:00,ETH,Open Short,2927.59003217,120,351310.8038604,87.827687,-87.827687
03/08/2024 - 07:45:42,ETH,Open Short,2962.9,8.0689,23907.34381,5.976835,-5.976835
03/08/2024 - 07:45:46,ETH,Open Short,2962.7,8.0689,23905.730029999995,5.976432,-5.976432
03/08/2024 - 07:45:51,ETH,Open Short,2962.3,8.0689,23902.50247,5.975624,-5.975624
03/08/2024 - 21:39:57,ETH,Open Short,2934.4,9.4088,27609.18272,6.902295,-6.902295
03/08/2024 - 21:40:15,ETH,Open Short,2933.9,0.1,293.39000000000004,0.073347,-0.073347
07/08/2024 - 19:13:49,ETH,Open Short,2458.9135104,661.219,1625880.3324331779,406.470052,-406.470052
07/08/2024 - 19:21:45,ETH,Open Short,2442.48601529,662.7959,1618869.7167415493,404.717395,-404.717395
07/08/2024 - 19:34:00,ETH,Open Short,2437.91299441,644.1363,1570348.2559411782,392.587028,-392.587028
07/08/2024 - 20:03:40,ETH,Open Short,2383.75500487,649.106,1547309.6761911463,386.827395,-386.827395
09/08/2024 - 05:49:11,ETH,Open Short,2675.18080021,85.6921,229241.86064967533,57.310459,-57.310459
06/09/2024 - 06:19:40,ETH,Open Short,2362.73998261,80.2794,189679.34815994123,43.626241,-43.626241
06/09/2024 - 06:20:08,ETH,Open Short,2362.5,0.0168,39.69,0,0
06/09/2024 - 06:21:11,ETH,Open Short,2361.8,0.0042,9.91956,0,0
06/09/2024 - 06:21:16,ETH,Open Short,2361.8,0.0042,9.91956,0,0
